id,tipo_de_servicio,sede,objeto_de_la_atencion,full_address,calle,numero_exterior,numero_interior,colonia,codigo_postal,alcaldia,referencias_de_ubicacion,horario_de_atencion_horas,dias_de_atencion,correo_electronico,telefono_1,extension_1,telefono_2,extension_2,latitude,longitude,numero_consecutivo,coordenadas
10,Coordinación Territorial,MC-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Jose Moreno Salido  156 S/N Barranca Seca Magdalena Contreras 10580 CDMX,Jose Moreno Salido,156,S/N,Barranca Seca,10580,Magdalena Contreras,Alcaldia Magdalena Contreras,24 hrs.,Lunes-Domingo,S/C,5346 8501,53468501,5346 8501,S/N,19.3051546,-99.2413045,43,"19.3051546,-99.2413045"
11,Coordinación Territorial,MH-1,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Calzada México Tacuba   S/N S/N Tacuba Miguel Hidalgo 11410 CDMX,Calzada México Tacuba,S/N,S/N,Tacuba,11410,Miguel Hidalgo,Esquina  Mar Arabigo,24 hrs.,Lunes-Domingo,S/C,5346 8215,S/N,S/N,,19.4593793,-99.1884281,44,"19.4593793,-99.1884281"
12,Coordinación Territorial,MH-3,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Monte Altai  S/N S/N Lomas de Chapultepec Miguel Hidalgo 11000 CDMX,Monte Altai,S/N,S/N,Lomas de Chapultepec,11000,Miguel Hidalgo,Esquina Monte Alpes,24 hrs.,Lunes-Domingo,S/C,5346 8270,S/N,S/N,,19.4251488,-99.2091027,46,"19.4251488,-99.2091027"
13,Coordinación Territorial,MIL-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Zaragoza esquina con Cinco de Mayo  S/N S/N San Antonio Tecomil Milpa Alta 12100 CDMX,Zaragoza esquina con Cinco de Mayo,S/N,S/N,San Antonio Tecomil,12100,Milpa Alta,Mercado San Antonio Tecomitl,24 hrs.,Lunes-Domingo,S/C,5200 9126,S/N,S/N,,19.2194041,-98.9935558,50,"19.2194041,-98.9935558"
14,Coordinación Territorial,VC-3 C/D,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier 219 S/N Jardin Balbuena Venustiano Carranza 15900 CDMX,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier,219,S/N,Jardin Balbuena,15900,Venustiano Carranza,Alcaldía Venustiano Carranza,24 hrs.,Lunes-Domingo,S/C,5345 5831,S/N,5345 5809,,19.4198265,-99.1122719,60,"19.4198265,-99.1122719"
15,Coordinación Territorial,VC-3 S/D,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier 219 S/N Jardin Balbuena Venustiano Carranza 15900 CDMX,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier,219,S/N,Jardin Balbuena,15900,Venustiano Carranza,Alcaldía Venustiano Carranza,24 hrs.,Lunes-Domingo,S/C,5345 5834,S/N,S/N,,19.4198265,-99.1122719,61,"19.4198265,-99.1122719"
16,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a Turistas Nacionales Y Extranjeros,"Esta Agencia del Ministerio Público conoce de la comisión de conductas probablemente constitutivas de delito en las que se encuentren involucrados en su calidad de querellantes, denunciantes o víctimas, turistas nacionales o extranjeros, miembros del personal de las misiones diplomáticas y empleados consulares acreditados en México.",Avenida Presidente Masaryk 172 S/N Bosques de Chapultepec Miguel Hidalgo 11580 CDMX,Avenida Presidente Masaryk,172,S/N,Bosques de Chapultepec,11580,Miguel Hidalgo,,09:00-17:00,Lunes-Viernes,S/C,5531 7449,S/N,S/N,,19.431314,-99.18848,66,"19.431314,-99.18848"
17,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a Usuarios del STCM Pantitlán,"Aseguran la procuración de justicia pronta y expedita en beneficio de los usuarios del Sistema de Transporte Colectivo Metro, de manera particular a las víctimas
de algún delito en estaciones o vagones, ya que se evita su traslado a agencias ministeriales externas para promover la denuncia correspondiente.",Alberto Branis y Manuel Lebrija S/N S/N Ampliación Adolfo López Mateos Venustiano Carranza 15670 CDMX,Alberto Branis y Manuel Lebrija,S/N,S/N,Ampliación Adolfo López Mateos,15670,Venustiano Carranza,,24 hrs.,Lunes-Domingo,S/C,5242 6559,S/N,S/N,,19.4153095,-99.0742983,71,"19.4153095,-99.0742983"
18,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a la Comunidad Universitaria,"Proporciona atención oportuna a los integrantes de dicha comunidad en calidad de víctimas del delito, promoviendo de este modo la cultura de la denuncia entre las y los universitarios, como un medio adecuado para disminuir la incidencia delictiva",Avenida Antonio Delfin Madrigal S/N S/N Pedregal Santo Domingo Coyoacán 04369 CDMX,Avenida Antonio Delfin Madrigal,S/N,S/N,Pedregal Santo Domingo,4369,Coyoacán,,24 hrs.,Lunes-Domingo,S/C,5658 4857,S/N,S/N,,19.324405,-99.173913,74,"19.324405,-99.173913"
19,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a Personas Integrantes de la Comunidad LGBTTTI (Coyoacán),"Atiende las denuncias presentadas por integrantes de la comunidad Lésbico, Gay, Bisexual Travesti, Transgénero, Transexual e Intersexual (LGBTTTI) y garantizar de este modo
su oportuno acceso a la justicia.",Tecualipan S/N S/N Romero de Terreros Coyoacán 04310 CDMX,Tecualipan,S/N,S/N,Romero de Terreros,4310,Coyoacán,,24 hrs.,Lunes-Domingo,S/C,5200 9365,S/N,S/N,,19.3431784,-99.1669299,76,"19.3431784,-99.1669299"
20,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a Personas Integrantes de la Comunidad LGBTTTI (Búnker),"Atiende las denuncias presentadas por integrantes de la comunidad Lésbico, Gay, Bisexual Travesti, Transgénero, Transexual e Intersexual (LGBTTTI) y garantizar de este modo
su oportuno acceso a la justicia.",Gabriel Hernández 56 S/N Doctores Cuauhtémoc 06720 CDMX,Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,,24 hrs.,Lunes-Domingo,S/C,5346 5219,S/N,S/N,,19.4243727,-99.1473881,77,"19.4243727,-99.1473881"
21,Fiscalía Desconcentrada,Agencia del Ministerio Público Especializada en Atención a Usuarios del Sistema de Corredores de Transporte Público de Pasajeros Metrobús,Proporciona atención respecto a delitos cometidos al interior del Sistema Metrobús para que las personas usuarias tengan la posibilidad de presentar denuncias y querellas por hechos con apariencia de delito ocurridos en el interior de esa red.,Gabriel Hernández 56 S/N Doctores Cuauhtémoc 06720 CDMX,Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,,24 hrs.,Lunes-Domingo,S/C,5346 5115,S/N,S/N,,19.4243727,-99.1473881,78,"19.4243727,-99.1473881"
22,Fiscalía de Procesos de Juzgados Familiares,Juzgados Familiares (Agencia 75 TER ),"Conoce de denuncias a lo relacionado en materia familiar. integrar las averiguaciones previas, así como llevar a cabo las conciliaciones en materia familiar, cuando resulte procedente; y, asesorar, y en su caso, canalizar al Centro de Justicia Alternativa del TSJ o a la institución respectiva.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"4° piso
Edificio Búnker Cerca de metro Balderas",09:00-17:00,Lunes-Viernes,amada_serrano@fgjcdmx.gob.mx,5345 5123,5123,S/N,,19.4243727,-99.1473881,81,"19.4243727,-99.1473881"
23,Atención a Víctimas,Agencia Especializada para la atención de personas Adultas Mayores Víctimas de Violencia Familiar,"Brinda atención integral a las personas adultas mayores en casos de violencia familiar, conoce de los hechos de violencia familiar que les afecten como víctimas u ofendidos, iniciando, integrando y determinando las indagatorias
correspondientes.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"Planta Baja
Edificio Búnker Cerca de metro Balderas",09:00-17:00,Lunes-Viernes,rene_garcia@fgjcdmx.gob.mx,5345 5111,5111,S/N,,19.4243727,-99.1473881,82,"19.4243727,-99.1473881"
24,Atención a Víctimas,Centro de Justicia para las Mujeres en la CDMX (Tlalpan),"Es un espacio en donde se proporciona seguridad y atención a mujeres, sus hijas e hijos que se encuentren en situación de víctimas por violencia de género.",Manuel Costanzo (antes San Luis de la Paz N°63) 43 Manzana 603 Lote 10 S/N Colonia Miguel Hidalgo Tlalpan 14250 CDMX,Manuel Costanzo (antes San Luis de la Paz N°63),43 Manzana 603 Lote 10,S/N,Colonia Miguel Hidalgo,14250,Tlalpan,Cercano a la estación del metrobus Corregidora Antes San Luis de la Paz 63,24 hrs.,Lunes-Domingo,cjmtlalpan@gmail.com,5200 9288,S/N,5200 9280,9280,19.2861276,-99.1916513,86,"19.2861276,-99.1916513"
25,Fiscalía Central de Investigación,"Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes (Agencia B)","Proteger la integridad de los niños, niñas y adolescentes y evitar su vulnerabilidad física y psicológica, mediante la atención de delitos que atenten contra sus derechos como omisión de auxilio o de cuidado, peligro de contagio, tráfico de menores, lenocinio, explotación laboral de menores, delitos que atenten contra el cumplimiento de la obligación alimenticia, violencia familiar y discriminación. Además de buscar la de reparación del daño mediante apoyo psicológico.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"2° piso
Búnker de la Fiscalía General de Justicia de la Ciudad México",09:00-17:00,Lunes-Viernes,flor_garcia@fgjcdmx.gob.mx,5346 8325,8325,S/N,,19.4243727,-99.1473881,94,"19.4243727,-99.1473881"
26,Atención a Víctimas,Fiscalía Especializada en la Búsqueda Localización e Investigación de Personas Desaparecidas,"En esta Fiscalía se puede reportar una ausencia o extravío. Esta Fiscalía le ayuda para su búsqueda, localización, a travé de la circulación en redes sociales y coordinación institucional con otras instancias.",Avenida Jardín 356 S/N Del Gas Azcapotzalco 02950 CDMX,Avenida Jardín,356,S/N,Del Gas,2950,Azcapotzalco,"A un costado de plaza Jardín, entre Circuito y Avenida Cuitláhuac",24 hrs.,Lunes-Domingo,fiscalia.fipede@fgjcdmx.gob.mx,5345 5067,S/N,5345 5084,S/N,19.4698217,-99.1599722,97,"19.4698217,-99.1599722"
27,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 5),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.","Avenida Telecomunicaciones, casi esquina con calle Tres S/N S/N Tepalcates Iztapalapa 09210 CDMX","Avenida Telecomunicaciones, casi esquina con calle Tres",S/N,S/N,Tepalcates,9210,Iztapalapa,Cabeza de Juarez,24 hrs.,Lunes-Domingo,emartínez_hernandez@fgjcdmx.gob.mx,5345 5657,5657,5345 5656,5656,19.3820472,-99.0506644,104,"19.3820472,-99.0506644"
28,Coordinación Territorial,BJ-5,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Orinoco esquina Bretaña S/N S/N Zacahuitzco Benito Juárez 03550 CDMX,Orinoco esquina Bretaña,S/N,S/N,Zacahuitzco,3550,Benito Juárez,A dos calles del Metro Portales,24 hrs.,Lunes-Domingo,rosario_manjarrez@fgjcdmx.gob.mx,5200 9545,S/N,5200 9638,S/N,19.3735943,-99.1400102,8,"19.3735943,-99.1400102"
29,Coordinación Territorial,COY-5,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Candelaria Perez y Laura Mendez de Cuenca S/N S/N CTM Culhuacan Coyoacán 04480 CDMX,Candelaria Perez y Laura Mendez de Cuenca,S/N,S/N,CTM Culhuacan,4480,Coyoacán,,24 hrs.,Lunes-Domingo,S/C,5200 9397,9397,S/N,,19.3191526,-99.1006023,13,"19.3191526,-99.1006023"
